1	2	1.5	25	25.9002
1	3	1	25	23.40347
2	1	1.5	25	25.9002
2	6	1.25	25	4.95818
3	1	1	25	23.40347
3	4	1	25	17.11052
3	12	1	25	23.40347
4	3	1	25	17.11052
4	5	0.5	25	17.78279
4	11	1.5	25	4.90883
5	4	0.5	25	17.78279
5	6	1	25	4.948
5	9	1.25	25	10
6	2	1.25	25	4.95818
6	5	1	25	4.948
6	8	0.5	25	4.89859
7	8	0.75	25	7.84181
7	18	0.5	25	23.40347
8	6	0.5	25	4.89859
8	7	0.75	25	7.84181
8	9	2.5	25	5.05019
8	16	1.25	25	5.04582
9	5	1.25	25	10
9	8	2.5	25	5.05019
9	10	0.75	25	13.91579
10	9	0.75	25	13.91579
10	11	1.25	25	10
10	15	1.5	25	13.512
10	16	1	25	4.85492
10	17	2	25	4.99351
11	4	1.5	25	4.90883
11	10	1.25	25	10
11	12	1.5	25	4.90883
11	14	1	25	4.87651
12	3	1	25	23.40347
12	11	1.5	25	4.90883
12	13	0.75	25	25.9002
13	12	0.75	25	25.9002
13	24	1	25	5.09126
14	11	1	25	4.87651
14	15	1.25	25	5.12753
14	23	1	25	4.92479
15	10	1.5	25	13.512
15	14	1.25	25	5.12753
15	19	0.75	25	14.56475
15	22	0.75	25	9.59918
16	8	1.25	25	5.04582
16	10	1	25	4.85492
16	17	0.5	25	5.22991
16	18	0.75	25	19.6799
17	10	2	25	4.99351
17	16	0.5	25	5.22991
17	19	0.5	25	4.82395
18	7	0.5	25	23.40347
18	16	0.75	25	19.6799
18	20	1	25	23.40347
19	15	0.75	25	14.56475
19	17	0.5	25	4.82395
19	20	1	25	5.00261
20	18	1	25	23.40347
20	19	1	25	5.00261
20	21	1.5	25	5.05991
20	22	1.25	25	5.0757
21	20	1.5	25	5.05991
21	22	0.5	25	5.22991
21	24	0.75	25	4.88536
22	15	0.75	25	9.59918
22	20	1.25	25	5.0757
22	21	0.5	25	5.22991
22	23	1	25	5
23	14	1	25	4.92479
23	22	1	25	5
23	24	0.5	25	5.07851
24	13	1	25	5.09126
24	21	0.75	25	4.88536
24	23	0.5	25	5.07851
