1	10	5280	2640	5400
1	394	2640	2640	5400
2	11	5280	2640	5400
2	395	2640	2640	5400
3	12	5280	2640	5400
3	395	2640	2640	5400
4	13	5280	2640	5400
4	396	2640	2640	5400
5	15	5280	2640	5400
5	396	2640	2640	5400
6	7	5280	2640	5400
6	409	2640	2640	5400
7	21	5280	2640	5400
7	8	581	2640	5400
7	6	5280	2640	5400
8	9	1320	2640	5400
8	7	581	2640	5400
8	250	1320	2640	1800
9	10	2851	2640	5400
9	8	1320	2640	5400
9	206	1320	2640	1800
10	27	6811	2640	5400
10	1	5280	2640	5400
10	364	2798	2640	5400
10	9	2851	2640	5400
10	379	1320	8855	12600
11	28	5280	2640	5400
11	2	5280	2640	5400
11	12	5280	2640	5400
11	364	2851	2640	5400
11	379	1320	8855	12600
12	29	5280	2640	5400
12	3	5280	2640	5400
12	13	5280	2640	5400
12	11	5280	2640	5400
13	30	5280	2640	5400
13	4	5280	2640	5400
13	14	2640	2640	5400
13	12	5280	2640	5400
14	31	5280	2640	5400
14	15	2640	2640	5400
14	13	2640	2640	5400
15	32	5280	2640	5400
15	5	5280	2640	5400
15	365	2640	2640	5400
15	14	2640	2640	5400
15	380	1320	8855	12600
16	33	5280	2640	5400
16	17	370	2640	5400
16	365	2640	2640	5400
16	380	1320	8855	12600
17	18	1320	2640	5400
17	16	370	2640	5400
17	298	1320	2640	1800
18	19	1531	2640	5400
18	17	1320	2640	5400
18	254	1320	2640	1800
19	20	5280	2640	5400
19	18	1531	2640	5400
20	19	5280	2640	5400
20	397	2640	2640	5400
21	23	1531	2640	5400
21	7	5280	2640	5400
21	202	1320	2640	1800
22	23	5280	2640	5400
22	408	2640	2640	5400
23	366	2640	2640	5400
23	21	1531	2640	5400
23	24	370	2640	5400
23	22	5280	2640	5400
23	381	1320	8855	12600
24	25	1109	2640	5400
24	23	370	2640	5400
24	247	1320	2640	1800
25	26	1109	2640	5400
25	24	1109	2640	5400
25	210	1320	2640	1800
26	27	1901	2640	5400
26	25	1109	2640	5400
26	168	1320	2640	1800
27	42	5280	2640	5400
27	10	6811	2640	5400
27	28	5280	2640	5400
27	26	1901	2640	5400
28	367	2640	2640	5400
28	11	5280	2640	5400
28	29	5280	2640	5400
28	27	5280	2640	5400
28	382	1320	8855	12600
29	45	5280	2640	5400
29	12	5280	2640	5400
29	30	5280	2640	5400
29	28	5280	2640	5400
30	46	5280	2640	5400
30	13	5280	2640	5400
30	31	2640	2640	5400
30	29	5280	2640	5400
31	47	5280	2640	5400
31	14	5280	2640	5400
31	32	2640	2640	5400
31	30	2640	2640	5400
32	368	2640	2640	5400
32	15	5280	2640	5400
32	33	5280	2640	5400
32	31	2640	2640	5400
32	383	1320	8855	12600
33	50	6019	2640	5400
33	16	5280	2640	5400
33	34	1109	2640	5400
33	32	5280	2640	5400
34	35	1531	2640	5400
34	33	1109	2640	5400
35	36	1320	2640	5400
35	34	1531	2640	5400
35	295	1320	2640	1800
36	37	5280	2640	5400
36	35	1320	2640	5400
36	257	1320	2640	1800
37	36	5280	2640	5400
37	398	2640	2640	5400
38	39	5280	2640	5400
38	408	2640	2640	5400
39	56	5280	2640	5400
39	366	2640	2640	5400
39	40	1320	2640	5400
39	38	5280	2640	5400
39	381	1320	8855	12600
40	41	1320	2640	5400
40	39	1320	2640	5400
40	243	1320	2640	1800
41	42	1901	2640	5400
41	40	1320	2640	5400
41	213	1320	2640	1800
42	54	739	2640	5400
42	27	5280	2640	5400
42	43	1531	2640	5400
42	41	1901	2640	5400
42	198	1320	2640	1800
43	44	3749	2640	5400
43	42	1531	2640	5400
43	170	1320	2640	1800
44	60	5280	2640	5400
44	367	2640	2640	5400
44	45	5280	2640	5400
44	43	3749	2640	5400
44	382	1320	8855	12600
45	61	5280	2640	5400
45	29	5280	2640	5400
45	46	5280	2640	5400
45	44	5280	2640	5400
46	62	5280	2640	5400
46	30	5280	2640	5400
46	47	2640	2640	5400
46	45	5280	2640	5400
47	63	5280	2640	5400
47	31	5280	2640	5400
47	48	2640	2640	5400
47	46	2640	2640	5400
48	64	5280	2640	5400
48	368	2640	2640	5400
48	49	3749	2640	5400
48	47	2640	2640	5400
48	383	1320	8855	12600
49	50	1901	2640	5400
49	48	3749	2640	5400
50	66	5280	2640	5400
50	33	6019	2640	5400
50	51	2270	2640	5400
50	49	1901	2640	5400
51	52	1320	2640	5400
51	50	2270	2640	5400
51	293	1320	2640	1800
52	53	5280	2640	5400
52	51	1320	2640	5400
52	259	1320	2640	1800
53	52	5280	2640	5400
53	398	2640	2640	5400
54	59	4541	2640	5400
54	42	739	2640	5400
55	56	5280	2640	5400
55	407	2640	2640	5400
56	369	2640	2640	5400
56	39	5280	2640	5400
56	57	1320	2640	5400
56	55	5280	2640	5400
56	384	1320	8855	12600
57	58	1320	2640	5400
57	56	1320	2640	5400
57	241	1320	2640	1800
58	59	1901	2640	5400
58	57	1320	2640	5400
58	215	1320	2640	1800
59	84	5491	2640	5400
59	54	4541	2640	5400
59	60	5280	2640	5400
59	58	1901	2640	5400
60	70	739	2640	5400
60	44	5280	2640	5400
60	61	5280	2640	5400
60	59	5280	2640	5400
61	73	5280	2640	5400
61	45	5280	2640	5400
61	62	5280	2640	5400
61	60	5280	2640	5400
62	74	5280	2640	5400
62	46	5280	2640	5400
62	63	2640	2640	5400
62	61	5280	2640	5400
63	75	5280	2640	5400
63	47	5280	2640	5400
63	64	2640	2640	5400
63	62	2640	2640	5400
64	76	5280	2640	5400
64	48	5280	2640	5400
64	65	3749	2640	5400
64	63	2640	2640	5400
65	66	1901	2640	5400
65	64	3749	2640	5400
66	77	4541	2640	5400
66	50	5280	2640	5400
66	67	2270	2640	5400
66	65	1901	2640	5400
67	68	1320	2640	5400
67	66	2270	2640	5400
67	291	1320	2640	1800
68	69	5280	2640	5400
